ticker,labor_exposure,jan_score
AAPL,3,0.0
ABBV,5,0.0
ABNB,5,0.0
ADBE,5,0.0
AMZN,5,0.0
AVGO,5,0.0
BAC,5,0.0
BBY,5,0.0
BKNG,5,0.0
BRK.B,5,0.0
COST,5,0.0
CRM,5,0.0
CSCO,5,0.0
DG,6,0.0
DIS,5,0.0
DLTR,5,0.0
EBAY,5,0.0
ETSY,5,0.0
FCX,7,0.0
FDX,5,0.0
GOOGL,5,0.0
HD,5,0.0
JPM,5,0.0
KO,5,0.0
LLY,5,0.0
LOW,5,0.0
LULU,5,0.0
MA,5,0.0
MCD,5,0.0
META,5,0.0
MRK,5,0.0
MSFT,5,0.0
NFLX,5,0.0
NKE,5,0.0
NVDA,5,0.0
ORCL,5,0.0
PEP,5,0.0
PG,5,0.0
ROST,5,0.0
SBUX,5,0.0
TGT,5,0.0
TJX,5,0.0
TMO,5,0.0
TSLA,5,0.0
ULTA,5,0.0
UNH,5,0.0
UPS,5,0.0
V,5,0.0
WMT,5,0.0
XOM,5,0.0
