ticker,labor_exposure,jan_score,catalyst,labor_shock,entry_price,volatile
AAPL,5.0,0.0,0.0,0.0,,0.0
AMZN,5.0,0.0,0.0,0.0,,0.0
AVGO,5.0,0.0,0.0,0.0,,0.0
BAC,5.0,0.0,0.0,0.0,,0.0
BBY,5.0,0.0,0.0,0.0,,0.0
COST,5.0,0.0,0.0,0.0,,0.0
CRM,5.0,0.0,0.0,0.0,,0.0
DG,5.0,0.0,0.0,0.0,,0.0
DIS,5.0,0.0,0.0,0.0,,0.0
EBAY,5.0,0.0,0.0,0.0,,0.0
GOOGL,5.0,0.0,0.0,0.0,,0.0
HD,5.0,0.0,0.0,0.0,,0.0
JPM,5.0,0.0,0.0,0.0,,0.0
MA,5.0,0.0,0.0,0.0,,0.0
META,5.0,0.0,0.0,0.0,,0.0
MRK,5.0,0.0,0.0,0.0,,0.0
MSFT,5.0,0.0,0.0,0.0,,0.0
NFLX,5.0,0.0,0.0,0.0,,0.0
NVDA,5.0,0.0,0.0,0.0,,0.0
ORCL,5.0,0.0,0.0,0.0,,0.0
PEP,5.0,0.0,0.0,0.0,,0.0
TJX,5.0,0.0,0.0,0.0,,0.0
TMO,5.0,0.0,0.0,0.0,,0.0
ULTA,5.0,0.0,0.0,0.0,,0.0
XOM,5.0,0.0,0.0,0.0,,0.0
